Milestone,Display Status,Description,Expected Duration,Contact Instructions
Intake,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and we have the information needed to start processing it.,Less than 1 Business Day,Call 617-343-3628.
IntakeRev,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and we have the information needed to start processing it.,Less than 1 Business Day,Call 617-343-3628.
Processing,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and we have the information needed to start processing it.,Less than 1 Business Day,Call 617-343-3628.
Waiting Fee,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and we have the information needed to start processing it.,Less than 1 Business Day,Call 617-343-3628.
Review,Permit Review,Your project plan is under review by a team of fire prevention professionals at BFD. , 2-10 Business Days,Call 617-343-3628.
Reviews,Permit Review,Your project plan is under review by a team of fire prevention professionals at BFD. , 2-10 Business Days,Call 617-343-3628.
District Review,Permit Review,Your project plan is under review by a team of fire prevention professionals at BFD. , 2-10 Business Days,Call 617-343-3628.
Inspection,Inspections,Your application requires an on-site inpection to be processed further. ,,Please schedule an inspection by visiting BFD's inspection page: http://www.cityofboston.gov/fire/inspections/. With Any further questions call (617) 343-3628.
Ready To Issue,Issuance,Congratulations!  Once your permit is paid for you can click here to print your fire prevention permit and you're ready to start your project and get to work.,,Call 617-343-3628.
Issue,Issuance,Congratulations!  Once your permit is paid for you can click here to print your fire prevention permit and you're ready to start your project and get to work.,,Call 617-343-3628.
Issue Cert,Issuance,Congratulations!  Once your permit is paid for you can click here to print your fire prevention permit and you're ready to start your project and get to work.,,Call 617-343-3628.
Issued,Issuance,Congratulations!  Once your permit is paid for you can click here to print your fire prevention permit and you're ready to start your project and get to work.,,Call 617-343-3628.
Work Progress,Issuance,Congratulations!  Once your permit is paid for you can click here to print your fire prevention permit and you're ready to start your project and get to work.,,Call 617-343-3628.
Revoke,Revoked,,,
Revoked,Revoked,,,
Abandon,Abandoned,,,
Abandoned,Abandoned,,,
Close,Completed,,,
Closed,Completed,,,
Complete,Completed,,,
Extension,** NOT USED **,,,
