Milestones,DisplayStatus,Description,ExpectedDuration,ContactInstructions
Intake,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and that we have the information needed to start processing it.,1-2 Business Days,Call 617-635-5300 and ask for ISD Counter 2.
Admin PZ Review,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and that we have the information needed to start processing it.,1-2 Business Days,Call 617-635-5300 and ask for ISD Counter 2.
Fee,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and that we have the information needed to start processing it.,1-2 Business Days,Call 617-635-5300 and ask for ISD Counter 2.
Fees,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and that we have the information needed to start processing it.,1-2 Business Days,Call 617-635-5300 and ask for ISD Counter 2.
Awaiting Refund Request,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and that we have the information needed to start processing it.,1-2 Business Days,Call 617-635-5300 and ask for ISD Counter 2.
Preliminary Inspection,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and that we have the information needed to start processing it.,1-2 Business Days,Call 617-635-5300 and ask for ISD Counter 2.
PrelimInspection,Intake & Payment,Thanks for your application!  Staff is reviewing your application to ensure that all fees are properly calculated and that we have the information needed to start processing it.,1-2 Business Days,Call 617-635-5300 and ask for ISD Counter 2.
PZCon,Project Review,Your project plan is under review by a professional familiar with local building and zoning codes.  We're working with agencies throughout the City to ensure your project meets all applicable codes and regulatory requirements.,"20 Total Business Days, including all reviews following request for additional information",Call 617-635-5300 and ask for ISD Counter 3.
Assignment,Project Review,Your project plan is under review by a professional familiar with local building and zoning codes.  We're working with agencies throughout the City to ensure your project meets all applicable codes and regulatory requirements.,"20 Total Business Days, including all reviews following request for additional information",Call 617-635-5300 and ask for ISD Counter 3.
PlanningZoning,Project Review,Your project plan is under review by a professional familiar with local building and zoning codes.  We're working with agencies throughout the City to ensure your project meets all applicable codes and regulatory requirements.,"20 Total Business Days, including all reviews following request for additional information",Call 617-635-5300 and ask for ISD Counter 3.
Satisfy Conditions,Project Review,Your project plan is under review by a professional familiar with local building and zoning codes.  We're working with agencies throughout the City to ensure your project meets all applicable codes and regulatory requirements.,"20 Total Business Days, including all reviews following request for additional information",Call 617-635-5300 and ask for ISD Counter 3.
Traffic Management Review,Project Review,Your project plan is under review by a professional familiar with local building and zoning codes.  We're working with agencies throughout the City to ensure your project meets all applicable codes and regulatory requirements.,"20 Total Business Days, including all reviews following request for additional information",Call 617-635-5300 and ask for ISD Counter 3.
Waiting,Waiting,We need a little more information to continue our project review.  You should have received an official letter detailing the additional information needed. ,Please get back to us soon so we can continue Project Review,Call 617-635-5300 and ask for ISD Counter 3.
Extension,Waiting,We need a little more information to continue our project review.  You should have received an official letter detailing the additional information needed. ,Please get back to us soon so we can continue Project Review,Call 617-635-5300 and ask for ISD Counter 3.
BOA Pending,Zoning Review,Your project requires special consideration because it conflicts with your area's zoning codes.  Please file an application with the Zoning Board of Appeals.,60-90 days,Call 617-635-5300 and ask for the Zoning Board of Appeals.
